Textbox182,State_Name_EN1,rc_count_aay,Textbox184,TotalRC,rcm_count_aay,Textbox201,TotalRCM,Textbox207,Textbox210,TotalRCAadharSeeded,TotalRCAadharPercentage,Textbox216,Textbox219,TotalRCMAadharSeeded,TotalRCMAadharPercentage,Textbox225,Textbox228,TotalRCMobileSeeded,Textbox234,Textbox237,TotalRCBankSeeded,Textbox243,Textbox246,TotalRCFemaleNFSA,Textbox252,Textbox255,TotalSilentRC,Textbox288
1,ANANTAPUR [553],"1,03,566","10,31,133","11,34,699","3,02,730","32,03,930","35,06,660","1,03,566","10,31,133","11,34,699",100,"3,02,730","32,03,930","35,06,660",100,"97,649","9,66,651","10,64,300",0,0,0,"8,14,751","86,426","9,01,177",0,0,0,24/07/2022
2,CHITTOOR [554],"85,972","9,20,601","10,06,573","2,54,598","28,56,061","31,10,659","85,972","9,20,601","10,06,573",100,"2,54,598","28,56,061","31,10,659",100,"71,238","8,04,437","8,75,675",0,0,0,"7,07,540","70,203","7,77,743",0,0,0,24/07/2022
3,EAST GODAVARI [545],"79,985","3,79,340","4,59,325","1,93,946","11,10,095","13,04,041","79,985","3,79,340","4,59,325",100,"1,93,946","11,10,095","13,04,041",100,"66,209","3,31,782","3,97,991",0,0,0,"2,98,433","65,407","3,63,840",0,0,0,24/07/2022
4,GUNTUR [548],"67,369","3,45,608","4,12,977","1,53,909","10,18,879","11,72,788","67,369","3,45,608","4,12,977",100,"1,53,909","10,18,879","11,72,788",100,"56,296","3,02,917","3,59,213",0,0,0,"2,70,555","54,563","3,25,118",0,0,0,24/07/2022
5,KRISHNA [547],"63,976","2,93,211","3,57,187","1,55,810","8,67,498","10,23,308","63,976","2,93,211","3,57,187",100,"1,55,810","8,67,498","10,23,308",100,"52,483","2,52,256","3,04,739",0,0,0,"1,88,479","44,562","2,33,041",0,0,0,24/07/2022
6,KURNOOL [552],"73,099","10,33,883","11,06,982","2,41,769","32,78,991","35,20,760","73,099","10,33,883","11,06,982",100,"2,41,769","32,78,991","35,20,760",100,"60,530","8,97,212","9,57,742",0,0,0,"7,91,447","59,169","8,50,616",0,0,0,24/07/2022
7,PRAKASAM [549],"47,205","6,52,442","6,99,647","1,25,215","19,57,574","20,82,789","47,205","6,52,442","6,99,647",100,"1,25,215","19,57,574","20,82,789",100,"39,667","5,74,905","6,14,572",0,0,0,"5,07,938","38,441","5,46,379",0,0,0,24/07/2022
8,SPSR NELLORE [550],"51,298","3,36,096","3,87,394","1,13,846","9,55,363","10,69,209","51,298","3,36,096","3,87,394",100,"1,13,846","9,55,363","10,69,209",100,"46,253","3,09,506","3,55,759",0,0,0,"2,47,769","39,020","2,86,789",0,0,0,24/07/2022
9,SRIKAKULAM [542],"49,814","7,19,524","7,69,338","1,36,265","21,57,282","22,93,547","49,814","7,19,524","7,69,338",100,"1,36,265","21,57,282","22,93,547",100,"41,182","6,29,396","6,70,578",0,0,0,"6,04,781","43,539","6,48,320",0,0,0,24/07/2022
10,VISAKHAPATANAM [544],"79,187","7,35,468","8,14,655","2,45,527","21,21,752","23,67,279","79,187","7,35,468","8,14,655",100,"2,45,527","21,21,752","23,67,279",100,"68,841","6,62,526","7,31,367",0,0,0,"6,05,887","64,856","6,70,743",0,0,0,24/07/2022
11,VIZIANAGARAM [543],"81,283","5,87,347","6,68,630","2,36,675","17,29,807","19,66,482","81,283","5,87,347","6,68,630",100,"2,36,675","17,29,807","19,66,482",100,"61,342","4,93,691","5,55,033",0,0,0,"4,88,542","66,592","5,55,134",0,0,0,24/07/2022
12,WEST GODAVARI [546],"68,604","2,79,673","3,48,277","1,57,097","8,22,175","9,79,272","68,604","2,79,673","3,48,277",100,"1,57,097","8,22,175","9,79,272",100,"57,538","2,47,933","3,05,471",0,0,0,"2,07,695","53,279","2,60,974",0,0,0,24/07/2022
13,Y.S.R. [551],"56,642","7,02,314","7,58,956","1,60,382","21,53,483","23,13,865","56,642","7,02,314","7,58,956",100,"1,60,382","21,53,483","23,13,865",100,"46,622","5,94,860","6,41,482",0,0,0,"5,49,324","46,759","5,96,083",0,0,0,24/07/2022
,Total: 13,"9,08,000","80,16,640","89,24,640","24,77,769","2,42,32,890","2,67,10,659","9,08,000","80,16,640","89,24,640",100,"24,77,769","2,42,32,890","2,67,10,659",100,"7,65,850","70,68,072","78,33,922",0,0,0,"62,83,141","7,32,816","70,15,957",0,0,0,

