Sales for November'2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,District,Total Cards,,,Availed Cards,,,,,,,Availed Qty(Kgs),,,,,,,,,,,,,,
,,NFSA,STATE,Total,NFSA,,,,STATE,Total,NFSA,NFSA,,,,,STATE,,,,,Total,,,,
,,(A),(B),(C=A+B),,,,,(E),(F=D+E),Avail %,(X),,,,,(Y),,,,,(Z=X+Y),,,,
,,,,,AAY,PHH,BPL,Total,NPH,,(D*100/A),Wheat,Rice,FRice,Atta,Sugar,Wheat,Rice,FRice,Atta,Sugar,Wheat,Rice,FRice,Atta,Sugar
,,,,,,,,(D),,,,,,,,,,,,,,,,,,
1,Alluri Sitharama Raju,280786,13756,294542,57923,207035,0,264958,12691,277649,94.36,0,0,5178175,0,0,0,0,181119,0,0,0,0,5359294,0,0
2,Anakapalli,489059,46433,535492,25136,437616,0,462752,43105,505857,94.62,0,0,7105077,0,0,0,0,599647,0,0,0,0,7704724,0,0
3,Ananthapur,583533,78481,662014,49911,508379,0,558290,54561,612851,95.67,0,0,8961308,0,0,0,0,680828,0,0,0,0,9642136,0,0
4,Annamayya,439059,57246,496305,37479,375599,0,413078,38448,451526,94.08,0,0,7158631,0,0,0,0,537712,0,0,0,0,7696343,0,0
5,Bapatla,158066,316720,474786,20220,128515,0,148735,282249,430984,94.1,0,0,2504379,0,0,0,0,3752185,0,0,0,0,6256564,0,0
6,Chittoor,478532,56189,534721,36818,409870,0,446688,37062,483750,93.35,0,0,7897880,0,0,0,0,540808,0,0,0,0,8438688,0,0
7,Dr.B R Ambedkar Konaseema,169779,366794,536573,23812,146281,0,170093,345981,516074,100.18,0,0,2865569,0,0,0,0,4708736,0,0,0,0,7574305,0,0
8,East Godavari,158987,404107,563094,19808,135958,0,155766,372508,528274,97.97,0,0,2699167,0,0,0,0,5285093,0,0,0,0,7984260,0,0
9,Eluru,220705,398159,618864,33021,175006,0,208027,350499,558526,94.26,0,0,3761557,0,0,0,0,4983910,0,0,0,0,8745467,0,0
10,Guntur,181489,407204,588693,22904,156403,0,179307,365891,545198,98.8,0,0,3137507,0,0,0,0,5255107,0,0,0,0,8392614,0,0
11,Kadapa,515569,63272,578841,34160,451799,0,485959,42101,528060,94.26,0,0,7767150,0,0,0,0,547113,0,0,0,0,8314263,0,0
12,Kakinada,155003,486133,641136,21307,130404,0,151711,455498,607209,97.88,0,0,2667324,0,0,0,0,6456553,0,0,0,0,9123877,0,0
13,Krishna,162574,357905,520479,28502,128783,0,157285,327015,484300,96.75,0,0,2834358,0,0,0,0,4474988,1,0,0,0,7309346,1,0
14,Kurnool,586680,86846,673526,40321,505940,0,546261,59997,606258,93.11,0,0,9384860,0,0,0,0,827056,0,0,0,0,10211916,0,0
15,Manyam,253090,23613,276703,52224,182877,0,235101,15888,250989,92.89,0,0,4595202,0,0,0,0,236177,0,0,0,0,4831379,0,0
16,Nandyal,474914,60271,535185,26558,415219,0,441777,39754,481531,93.02,0,0,6627451,0,0,0,0,488143,0,0,0,0,7115594,0,0
17,Nellore,244485,473720,718205,37845,193715,0,231560,405673,637233,94.71,0,0,4189285,0,0,0,0,5756123,0,0,0,0,9945408,0,0
18,Ntr,183359,407574,590933,21795,158765,0,180560,362232,542792,98.47,0,0,3183074,0,0,0,0,5267644,0,0,0,0,8450718,0,0
19,Palnadu,196541,437573,634114,27165,153015,0,180180,376095,556275,91.68,0,0,3313209,0,0,0,0,5487348,0,0,0,0,8800557,0,0
20,Prakasam,570795,90346,661141,29730,490556,0,520286,63789,584075,91.15,0,0,8558047,0,0,0,0,917556,0,0,0,0,9475603,0,0
21,Sri Balaji,429523,157478,587001,36065,375551,0,411616,122884,534500,95.83,0,0,6772471,0,0,0,0,1793316,0,0,0,0,8565787,0,0
22,Srikakulam,594473,63286,657759,33289,531029,0,564318,42659,606977,94.93,0,0,9202116,0,0,0,0,605207,0,0,0,0,9807323,0,0
23,Sri Satya Sai,503019,64099,567118,46734,431794,0,478528,43326,521854,95.13,0,0,7719709,0,0,0,0,548163,0,0,0,0,8267872,0,0
24,Visakhapatnam,148029,373353,521382,13042,173210,0,186252,342068,528320,125.82,0,0,3166702,0,0,0,0,5224277,0,0,0,0,8390979,0,0
25,Vizianagaram,527620,44181,571801,34752,458893,0,493645,34609,528254,93.56,0,0,7926809,0,0,0,0,482241,0,0,0,0,8409050,0,0
26,West Godavari,147100,409979,557079,29618,113349,0,142967,381932,524899,97.19,0,0,2674247,0,0,0,0,5363948,0,0,0,0,8038195,0,0
Total,,8852769,5744718,14597487,840139,7575561,0,8415700,5018515,13434215,95.06,0,0,141851264,0,0,0,0,71000998,1,0,0,0,212852262,1,0
Refresh Time : 2025-11-25 11:07:45,,,,,,,,,,,,,,,,,,,,,,,,,,
